פסוק,,,,,תוכן,תיוג,מילה נרדפת,משפט בימינו,דובר,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק יט,פסוק יא,*אך *אולים שרי צען חכמי יעצי פרעה עצה נבערה איך תאמרו אל פרעה בן חכמים אני בן מלכי קדם,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לד,פסוק יד,ופגשו ציים את איים ושעיר על רעהו יקרא *אך *שם הרגיעה לילית ומצאה לה מנוח,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לד,פסוק טו,שמה קננה קפוז ותמלט ובקעה ודגרה בצלה *אך *שם נקבצו דיות אשה רעותה,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לו,פסוק ה,אמרתי *אך *דבר שפתים עצה וגבורה למלחמה עתה על מי בטחת כי מרדת בי,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מג,פסוק כד,לא קנית לי בכסף קנה וחלב זבחיך לא הרויתני *אך* העבדתני בחטאותיך הוגעתני בעונתיך,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מה,פסוק יד,כה  אמר יהוה יגיע מצרים וסחר כוש וסבאים אנשי מדה עליך יעברו ולך יהיו אחריך ילכו בזקים יעברו ואליך ישתחוו אליך יתפללו *אך* בך אל ואין עוד אפס אלהים,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מה,פסוק כד,*אך* ביהוה לי אמר צדקות ועז עדיו יבוא ויבשו כל הנחרים בו,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק סג,פסוק ח,ויאמר *אך *עמי המה בנים לא ישקרו ויהי להם למושיע,אכן,למרות,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ב,פסוק לה,ותאמרי כי נקיתי *אך* שב אפו ממני הנני נשפט אותך על אמרך לא חטאתי,אבל,ובכל זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ג,פסוק יג,*אך* דעי עונך כי ביהוה אלהיך פשעת ותפזרי את דרכיך לזרים תחת כל עץ רענן ובקולי לא שמעתם נאם יהוה,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ה,פסוק ד,ואני אמרתי *אך *דלים הם נואלו כי לא ידעו דרך יהוה משפט אלהיהם,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ה,פסוק ה,אלכה לי אל הגדלים ואדברה אותם כי המה ידעו דרך יהוה משפט אלהיהם *אך* המה יחדו שברו על נתקו מוסרות,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק י,פסוק יט,אוי לי על שברי נחלה מכתי ואני אמרתי *אך* זה חלי ואשאנו,רק,בסך הכול,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק י,פסוק כד,יסרני יהוה *אך *במשפט אל באפך פן תמעטני,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק יב,פסוק א,צדיק אתה יהוה כי אריב אליך *אך* משפטים אדבר אותך מדוע דרך רשעים צלחה שלו כל בגדי בגד,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק טז,פסוק יט,יהוה עזי ומעזי ומנוסי ביום צרה אליך גוים יבאו מאפסי ארץ ויאמרו *אך *שקר נחלו אבותינו הבל ואין בם מועיל,אכן,באמת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כו,פסוק טו,*אך*  ידע תדעו כי אם ממתים אתם אתי כי דם נקי אתם נתנים עליכם ואל העיר הזאת ואל ישביה כי באמת שלחני יהוה עליכם לדבר באזניכם את כל הדברים האלה,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כו,פסוק כד,*אך* יד אחיקם בן שפן היתה את ירמיהו לבלתי תת אתו ביד העם להמיתו,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כח,פסוק ז,*אך *שמע נא הדבר הזה אשר אנכי דבר באזניך ובאזני כל העם,רק,בלבד?,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ל,פסוק יא,כי אתך אני נאם יהוה להושיעך כי אעשה כלה בכל הגוים  אשר הפצותיך שם *אך* אתך לא אעשה כלה ויסרתיך למשפט ונקה לא אנקך,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לב,פסוק ל,כי היו בני ישראל ובני יהודה *אך* עשים הרע בעיני מנערתיהם כי בני ישראל *אך* מכעסים אתי במעשה ידיהם נאם יהוה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לב,פסוק ל,כי היו בני ישראל ובני יהודה *אך* עשים הרע בעיני מנערתיהם כי בני ישראל *אך* מכעסים אתי במעשה ידיהם נאם יהוה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לד,פסוק ד,*אך* שמע דבר יהוה צדקיהו מלך יהודה כה אמר יהוה עליך לא תמות בחרב,זה עתה,ברגע זה,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jonah,פרק ב,פסוק ה,ואני אמרתי נגרשתי מנגד עיניך *אך* אוסיף להביט אל היכל קדשך,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Joshua,פרק ג,פסוק ד,*אך*  רחוק יהיה ביניכם (ובינו) [וביניו] כאלפים אמה במדה אל תקרבו אליו למען אשר תדעו את הדרך אשר תלכו בה כי לא עברתם בדרך מתמול שלשום,רק,בלבד,תהיו מאחורי הארון רק קרובים מידי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Joshua,פרק כב,פסוק יט,*ואך* אם טמאה ארץ אחזתכם עברו לכם אל ארץ אחזת יהוה אשר שכן שם משכן יהוה והאחזו בתוכנו וביהוה אל תמרדו ואתנו אל תמרדו בבנתכם לכם מזבח מבלעדי מזבח יהוה אלהינו,רק,ובלבד (בפרט),,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ג,פסוק כד,והוא יצא ועבדיו באו ויראו והנה דלתות העליה נעלות ויאמרו *אך* מסיך הוא את רגליו בחדר המקרה,רק,סך הכל,הקטנה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ו,פסוק לט,ויאמר גדעון אל האלהים אל יחר אפך בי ואדברה *אך* הפעם אנסה נא רק הפעם בגזה יהי נא חרב אל הגזה לבדה ועל כל הארץ יהיה טל,רק,הפעם בלבד,הקטנה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ז,פסוק יט,ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה *אך* הקם הקימו את השמרים ויתקעו בשופרות ונפוץ הכדים אשר בידם,זה עתה,עכשיו,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק י,פסוק טו,ויאמרו בני ישראל אל יהוה חטאנו עשה אתה לנו ככל הטוב בעיניך *אך* הצילנו נא היום הזה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק טז,פסוק כח,ויקרא שמשון אל יהוה ויאמר אדני יהוה זכרני נא וחזקני נא *אך* הפעם הזה האלהים ואנקמה נקם אחת משתי עיני מפלשתים,רק,הפעם בלבד,הקטנה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק כ,פסוק לט,ויהפך איש ישראל במלחמה ובנימן החל להכות חללים באיש ישראל כשלשים איש כי אמרו *אך* נגוף נגף הוא לפנינו כמלחמה הראשנה,זה עתה,עכשיו,השוואת זמן למלחמה הראשונה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Zechariah,פרק א,פסוק ו,*אך*  דברי וחקי אשר צויתי את עבדי הנביאים הלוא השיגו אבתיכם וישובו ויאמרו כאשר זמם יהוה צבאות לעשות לנו כדרכינו וכמעללינו כן עשה אתנו,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Zephaniah,פרק א,פסוק יח,גם כספם גם זהבם לא יוכל להצילם ביום עברת יהוה ובאש קנאתו תאכל כל הארץ כי כלה *אך *נבהלה יעשה את כל ישבי הארץ,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Zephaniah,פרק ג,פסוק ז,אמרתי *אך *תיראי אותי תקחי מוסר ולא יכרת מעונה כל אשר פקדתי עליה אכן השכימו השחיתו כל עלילותם,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Ezra,פרק י,פסוק טו,*אך* יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,II_Chronicles ,פרק כ,פסוק לג,*אך* הבמות לא סרו ועוד העם לא הכינו לבבם לאלהי אבתיהם,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,II_Chronicles ,פרק ל,פסוק יא,*אך *אנשים מאשר ומנשה ומזבלון נכנעו ויבאו לירושלם,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,III_Chronicles ,פרק כב,פסוק יב,*אך* יתן לך יהוה שכל ובינה ויצוך על ישראל ולשמור את תורת יהוה אלהיך,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק ב,פסוק ו,ויאמר יהוה אל השטן הנו בידך *אך* את נפשו שמר,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק יג,פסוק טו,הן יקטלני (לא) [לו] איחל *אך *דרכי אל פניו אוכיח,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק יג,פסוק כ,*אך *שתים אל תעש עמדי אז מפניך לא אסתר,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק יד,פסוק כב,*אך *בשרו עליו יכאב ונפשו עליו תאבל,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק טז,פסוק ז,*אך *עתה הלאני השמות כל עדתי,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק יח,פסוק כא,*אך *אלה משכנות עול וזה מקום לא ידע אל,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק יט,פסוק יג,אחי מעלי הרחיק וידעי *אך *זרו ממני,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק כג,פסוק ו,הברב כח יריב עמדי לא *אך *הוא ישם בי,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק ל,פסוק כד,*אך* לא בעי ישלח יד אם בפידו להן שוע,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק לג,פסוק ח,*אך* אמרת באזני וקול מלין אשמע,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Job,פרק לה,פסוק יג,*אך *שוא לא ישמע  אל ושדי לא ישורנה,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Lamentations,פרק ב,פסוק טז,פצו עליך פיהם כל אויביך שרקו ויחרקו שן אמרו בלענו *אך* זה היום שקוינהו מצאנו ראינו,זה עתה,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Lamentations,פרק ג,פסוק ג,*אך* בי ישב יהפך ידו כל היום,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק יא,פסוק כג,תאות צדיקים *אך *טוב תקות רשעים עברה,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק יא,פסוק כד,יש מפזר ונוסף עוד וחושך מישר *אך *למחסור,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק יד,פסוק כג,בכל עצב יהיה מותר ודבר שפתים *אך *למחסור,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק יז,פסוק יא,*אך *מרי יבקש רע ומלאך אכזרי ישלח בו,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק כא,פסוק ה,מחשבות חרוץ *אך *למותר וכל אץ *אך *למחסור,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק כא,פסוק ה,מחשבות חרוץ *אך *למותר וכל אץ *אך *למחסור,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Proverbs,פרק כב,פסוק טז,עשק דל להרבות לו נתן לעשיר *אך *למחסור,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק כג,פסוק ו,*אך*  טוב וחסד ירדפוני כל ימי חיי ושבתי בבית יהוה לארך ימים,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק לז,פסוק ח,הרף מאף ועזב חמה אל תתחר *אך *להרע,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק לט,פסוק ו,הנה טפחות  נתתה ימי וחלדי כאין נגדך *אך* כל הבל כל אדם נצב סלה,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק לט,פסוק ז,*אך *בצלם  יתהלך איש *אך *הבל יהמיון יצבר ולא ידע מי אספם,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק לט,פסוק ז,*אך *בצלם  יתהלך איש *אך *הבל יהמיון יצבר ולא ידע מי אספם,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק לט,פסוק יב,בתוכחות על עון  יסרת איש ותמס כעש חמודו *אך* הבל כל אדם סלה,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק מט,פסוק טז,*אך *אלהים יפדה נפשי מיד שאול כי יקחני סלה,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק נח,פסוק יב,ויאמר אדם *אך *פרי לצדיק *אך* יש אלהים שפטים בארץ,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק נח,פסוק יב,ויאמר אדם *אך *פרי לצדיק *אך* יש אלהים שפטים בארץ,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק ב,*אך* אל אלהים דומיה נפשי ממנו ישועתי,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק ג,*אך *הוא צורי וישועתי משגבי לא אמוט רבה,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק ה,*אך* משאתו  יעצו להדיח ירצו כזב בפיו יברכו ובקרבם יקללו סלה,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק ו,*אך* לאלהים דומי נפשי כי ממנו תקותי,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק ז,*אך *הוא צורי וישועתי משגבי לא אמוט,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סב,פסוק י,*אך*  הבל בני אדם כזב בני איש במאזנים לעלות המה מהבל יחד,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סח,פסוק ז,אלהים  מושיב יחידים  ביתה מוציא אסירים בכושרות *אך* סוררים שכנו צחיחה,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק סח,פסוק כב,*אך *אלהים ימחץ ראש איביו קדקד שער מתהלך באשמיו,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק עג,פסוק א,מזמור לאסף *אך* טוב לישראל אלהים לברי לבב,רק,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק עג,פסוק יג,*אך *ריק זכיתי לבבי וארחץ בנקיון כפי,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק עג,פסוק יח,*אך* בחלקות תשית למו הפלתם למשואות,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק עה,פסוק ט,כי כוס ביד יהוה ויין חמר  מלא מסך ויגר מזה *אך *שמריה ימצו ישתו כל רשעי ארץ,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק פה,פסוק י,*אך*  קרוב ליראיו ישעו לשכן כבוד בארצנו,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק קלט,פסוק יא,ואמר *אך *חשך ישופני ולילה אור בעדני,אכן,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",Writings,Psalms,פרק קמ,פסוק יד,*אך* צדיקים יודו לשמך ישבו ישרים את פניך,רק,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
